Horizon,Input_Size,Train_Steps,Series_ID,Model,MAE,MSE
24,192,200,PT,NBEATS,212.73162841796875,76007.2762838602
24,192,200,PT,TimesNet,343.75343831380206,169737.31497079134
24,192,200,RO,NHITS,151.54796346028647,36448.70176182687
24,192,200,RO,NBEATS,179.30791219075522,45256.7046456784
24,192,200,RO,TimesNet,190.83525594075522,47993.075296496354
24,192,300,Combined,NHITS,304.39794582790796,152238.94601595568
24,192,300,Combined,NBEATS,265.6742858886719,116746.87385814554
24,192,300,Combined,TimesNet,281.0655348036024,119898.93063213263
24,192,300,BE,NHITS,462.7579040527344,293919.63890756667
24,192,300,BE,NBEATS,374.46142578125,197960.62406155467
24,192,300,BE,TimesNet,320.54652913411456,153347.53984318176
24,192,300,PT,NHITS,244.5782267252604,102732.16041908662
24,192,300,PT,NBEATS,238.26383463541666,105250.09770857294
24,192,300,PT,TimesNet,344.34447224934894,163179.73575330278
24,192,300,RO,NHITS,205.85770670572916,60065.038721213736
24,192,300,RO,NBEATS,184.29759724934897,47029.89980430901
24,192,300,RO,TimesNet,178.30560302734375,43169.516299913324
48,96,100,Combined,NHITS,573.4712515936958,536201.7911334594
48,96,100,Combined,NBEATS,354.19750128851996,224758.91699642688
48,96,100,Combined,TimesNet,363.99867672390405,239098.8791119028
48,96,100,BE,NHITS,783.2732187906901,838676.5414596921
48,96,100,BE,NBEATS,513.5395812988281,399947.9343583137
48,96,100,BE,TimesNet,446.8680063883464,335398.50061788905
48,96,100,PT,NHITS,563.1943384806315,479424.23167720996
48,96,100,PT,NBEATS,272.4703776041667,116885.23526420195
48,96,100,PT,TimesNet,322.1693598429362,202572.57528382106
48,96,100,RO,NHITS,373.9461975097656,290504.6002634764
48,96,100,RO,NBEATS,276.5825449625651,157443.581366765
48,96,100,RO,TimesNet,322.9586639404297,179325.56143399826
48,96,200,Combined,NHITS,341.1364296807183,208644.20231956596
48,96,200,Combined,NBEATS,290.4478056165907,164554.70939121663
48,96,200,Combined,TimesNet,304.8787434895833,156861.2672197504
48,96,200,BE,NHITS,514.5279083251953,397055.396757029
48,96,200,BE,NBEATS,414.489751180013,267005.17964141816
48,96,200,BE,TimesNet,330.57615152994794,182223.24121499062
48,96,200,PT,NHITS,243.04188283284506,94892.56197400205
48,96,200,PT,NBEATS,217.5292739868164,103445.40780069742
48,96,200,PT,TimesNet,291.28284708658856,151239.18720180294
48,96,200,RO,NHITS,265.83949788411456,133984.64822766682
48,96,200,RO,NBEATS,239.32439168294272,123213.54073153436
48,96,200,RO,TimesNet,292.77723185221356,137121.37324245772
48,96,300,Combined,NHITS,267.7046245998806,135626.12940400612
48,96,300,Combined,NBEATS,287.11463334825305,158534.18598578312
48,96,300,Combined,TimesNet,273.52158610026044,120466.4920773473
48,96,300,BE,NHITS,371.1636606852214,223054.95249972492
48,96,300,BE,NBEATS,413.94422912597656,256135.7887368227
48,96,300,BE,TimesNet,316.5859883626302,154803.31921322146
48,96,300,PT,NHITS,202.8732172648112,81621.51963709357
48,96,300,PT,NBEATS,239.69336700439453,124861.25923153572
48,96,300,PT,TimesNet,223.16496785481772,87945.65184085567
48,96,300,RO,NHITS,229.07699584960938,102201.91607519984
48,96,300,RO,NBEATS,207.70630391438803,94605.50998899092
48,96,300,RO,TimesNet,280.8138020833333,118650.50517796476
48,192,100,Combined,NHITS,434.70348273383246,317628.3985708828
48,192,100,Combined,NBEATS,359.42443593343097,226800.19016510682
48,192,100,Combined,TimesNet,340.61382378472223,202315.45403729047
48,192,100,BE,NHITS,671.4883829752604,622198.6272148043
48,192,100,BE,NBEATS,599.2875518798828,489403.4596378182
48,192,100,BE,TimesNet,356.215087890625,229936.9717083772
48,192,100,PT,NHITS,338.6459248860677,181578.05336711308
48,192,100,PT,NBEATS,254.5957819620768,110687.37036498946
48,192,100,PT,TimesNet,398.2511749267578,241871.8060458973
48,192,100,RO,NHITS,293.97614034016925,149108.51513073096
48,192,100,RO,NBEATS,224.38997395833334,80309.74049251278
48,192,100,RO,TimesNet,267.3752085367839,135137.58435759693
48,192,200,Combined,NHITS,349.0060043334961,212122.7269084199
48,192,200,Combined,NBEATS,323.3095694647895,191457.84302701656
48,192,200,Combined,TimesNet,309.53897772894965,165361.39019749395
48,192,200,BE,NHITS,559.5735219319662,436552.6063577508
48,192,200,BE,NBEATS,533.4982096354166,404503.6522329201
48,192,200,BE,TimesNet,354.18988545735675,216334.0088293329
48,192,200,PT,NHITS,251.86321258544922,105547.81706017318
48,192,200,PT,NBEATS,233.03153228759766,100130.54083566678
48,192,200,PT,TimesNet,342.3904215494792,172345.85652789474
48,192,200,RO,NHITS,235.5812784830729,94267.75730733573
48,192,200,RO,NBEATS,203.39896647135416,69739.33601246278
48,192,200,RO,TimesNet,232.03662618001303,107404.30523525427
48,192,300,Combined,NHITS,376.3901536729601,243120.01478014846
48,192,300,Combined,NBEATS,334.1555692884657,195269.54082150199
48,192,300,Combined,TimesNet,329.5210461086697,179858.41687280126
48,192,300,BE,NHITS,634.7933603922526,518041.49028356624
48,192,300,BE,NBEATS,533.3358357747396,391694.72404589754
48,192,300,BE,TimesNet,386.34447224934894,236836.86188533902
48,192,300,PT,NHITS,259.3816426595052,120689.00713614002
48,192,300,PT,NBEATS,244.39517466227213,108160.86934248917
48,192,300,PT,TimesNet,351.2161331176758,182139.23991111977
48,192,300,RO,NHITS,234.9954579671224,90629.54692073911
48,192,300,RO,NBEATS,224.7356974283854,85953.02907611926
48,192,300,RO,TimesNet,251.00253295898438,120599.148821945
48,384,100,Combined,NHITS,436.27354855007593,304838.99795513
48,384,100,Combined,NBEATS,421.6036495632595,289366.2077343886
48,384,100,Combined,TimesNet,368.3166673448351,217703.3510314044
48,384,100,BE,NHITS,602.6212819417318,519390.02272695553
48,384,100,BE,NBEATS,600.9045257568359,507487.9749458407
48,384,100,BE,TimesNet,421.8499043782552,293582.6883774847
48,384,100,PT,NHITS,410.6443099975586,254711.3094988335
48,384,100,PT,NBEATS,393.782964070638,244333.2874873802
48,384,100,PT,TimesNet,385.3636474609375,214902.02837723494
48,384,100,RO,NHITS,295.5550537109375,140415.661639601
48,384,100,RO,NBEATS,270.1234588623047,116277.36076994489
48,384,100,RO,TimesNet,297.7364501953125,144625.3363394936
